application/vnd.hzn-3d-crossword	.x3d
video/3gpp	.3gp
video/3gpp2	.3g2
application/vnd.mseq	.mseq
application/vnd.3m.post-it-notes	.pwn
application/vnd.3gpp.pic-bw-large	.plb
application/vnd.3gpp.pic-bw-small	.psb
application/vnd.3gpp.pic-bw-var	.pvb
application/vnd.3gpp2.tcap	.tcap
application/x-7z-compressed	.7z
application/x-abiword	.abw
application/x-ace-compressed	.ace
application/vnd.americandynamics.acc	.acc
application/vnd.acucobol	.acu
application/vnd.acucorp	.atc
audio/adpcm	.adp
application/x-authorware-bin	.aab
application/x-authorware-map	.aam
application/x-authorware-seg	.aas
application/vnd.adobe.air-application-installer-package+zip	.air
application/x-shockwave-flash	.swf
application/vnd.adobe.fxp	.fxp
application/pdf	.pdf
application/vnd.cups-ppd	.ppd
application/x-director	.dir
application/vnd.adobe.xdp+xml	.xdp
application/vnd.adobe.xfdf	.xfdf
audio/x-aac	.aac
application/vnd.ahead.space	.ahead
application/vnd.airzip.filesecure.azf	.azf
application/vnd.airzip.filesecure.azs	.azs
application/vnd.amazon.ebook	.azw
application/vnd.amiga.ami	.ami
application/andrew-inset	N/A
application/vnd.android.package-archive	.apk
application/vnd.anser-web-certificate-issue-initiation	.cii
application/vnd.anser-web-funds-transfer-initiation	.fti
application/vnd.antix.game-component	.atx
application/vnd.apple.installer+xml	.mpkg
application/applixware	.aw
application/vnd.hhe.lesson-player	.les
application/vnd.aristanetworks.swi	.swi
text/x-asm	.s
application/atomcat+xml	.atomcat
application/atomsvc+xml	.atomsvc
application/atom+xml	.atom, .xml
application/pkix-attr-cert	.ac
audio/x-aiff	.aif
video/x-msvideo	.avi
application/vnd.audiograph	.aep
image/vnd.dxf	.dxf
model/vnd.dwf	.dwf
text/plain-bas	.par
application/x-bcpio	.bcpio
application/octet-stream	.bin
image/bmp	.bmp
application/x-bittorrent	.torrent
application/vnd.rim.cod	.cod
application/vnd.blueice.multipass	.mpm
application/vnd.bmi	.bmi
application/x-sh	.sh
image/prs.btif	.btif
application/vnd.businessobjects	.rep
application/x-bzip	.bz
application/x-bzip2	.bz2
application/x-csh	.csh
text/x-c	.c
application/vnd.chemdraw+xml	.cdxml
text/css	.css
chemical/x-cdx	.cdx
chemical/x-cml	.cml
chemical/x-csml	.csml
application/vnd.contact.cmsg	.cdbcmsg
application/vnd.claymore	.cla
application/vnd.clonk.c4group	.c4g
image/vnd.dvb.subtitle	.sub
application/cdmi-capability	.cdmia
application/cdmi-container	.cdmic
application/cdmi-domain	.cdmid
application/cdmi-object	.cdmio
application/cdmi-queue	.cdmiq
application/vnd.cluetrust.cartomobile-config	.c11amc
application/vnd.cluetrust.cartomobile-config-pkg	.c11amz
image/x-cmu-raster	.ras
model/vnd.collada+xml	.dae
text/csv	.csv
application/mac-compactpro	.cpt
application/vnd.wap.wmlc	.wmlc
image/cgm	.cgm
x-conference/x-cooltalk	.ice
image/x-cmx	.cmx
application/vnd.xara	.xar
application/vnd.cosmocaller	.cmc
application/x-cpio	.cpio
application/vnd.crick.clicker	.clkx
application/vnd.crick.clicker.keyboard	.clkk
application/vnd.crick.clicker.palette	.clkp
application/vnd.crick.clicker.template	.clkt
application/vnd.crick.clicker.wordbank	.clkw
application/vnd.criticaltools.wbs+xml	.wbs
application/vnd.rig.cryptonote	.cryptonote
chemical/x-cif	.cif
chemical/x-cmdf	.cmdf
application/cu-seeme	.cu
application/prs.cww	.cww
text/vnd.curl	.curl
text/vnd.curl.dcurl	.dcurl
text/vnd.curl.mcurl	.mcurl
text/vnd.curl.scurl	.scurl
application/vnd.curl.car	.car
application/vnd.curl.pcurl	.pcurl
application/vnd.yellowriver-custom-menu	.cmp
application/dssc+der	.dssc
application/dssc+xml	.xdssc
application/x-debian-package	.deb
audio/vnd.dece.audio	.uva
image/vnd.dece.graphic	.uvi
